ORIGIN,DEST,COUNT
TN,VA,6671.0
TN,WA,949.0
TN,WI,726.0
TT,HI,386.0
TT,TT,710.0
TX,AK,364.0
TX,AL,6657.0
TX,AR,8133.0
TX,AZ,20934.0
TX,CA,58790.0
TX,CO,33088.0
TX,CT,803.0
TX,FL,54410.0
TX,GA,23147.0
TX,HI,1694.0
TX,IA,2912.0
TX,ID,1916.0
TX,IL,25723.0
TX,IN,6093.0
TX,KS,3954.0
TX,KY,6399.0
TX,LA,19860.0
TX,MA,6355.0
TX,MD,5992.0
TX,ME,78.0
TX,MI,8364.0
TX,MN,6796.0
TX,MO,16981.0
TX,MS,4446.0
TX,MT,1809.0
TX,NC,14529.0
TX,ND,1186.0
TX,NE,3205.0
TX,NJ,8866.0
TX,NM,7534.0
TX,NV,20615.0
TX,NY,18171.0
TX,OH,5936.0
TX,OK,13147.0
TX,OR,2957.0
TX,PA,7585.0
TX,PR,1484.0
TX,SC,4713.0
TX,SD,1602.0
TX,TN,17177.0
TX,TX,158462.0
TX,UT,9038.0
TX,VA,14723.0
TX,VI,283.0
TX,VT,78.0
TX,WA,7831.0
TX,WI,3011.0
TX,WY,425.0
UT,AK,185.0
UT,AZ,6227.0
UT,CA,24371.0
UT,CO,9120.0
UT,FL,3262.0
UT,GA,2597.0
UT,HI,469.0
UT,IA,46.0
UT,ID,4967.0
UT,IL,3221.0
UT,IN,49.0
UT,KY,518.0
UT,LA,322.0
UT,MA,1010.0
UT,MD,471.0
UT,MI,1415.0
UT,MN,1562.0
UT,MO,1952.0
UT,MT,6373.0
UT,NC,1014.0
UT,NE,883.0
UT,NJ,752.0
UT,NM,974.0
UT,NV,5206.0
UT,NY,1990.0
UT,OH,6.0
UT,OK,1296.0
UT,OR,4408.0
UT,PA,339.0
UT,SD,115.0
UT,TN,869.0
UT,TX,9058.0
UT,UT,4017.0
UT,VA,654.0
UT,WA,5648.0
UT,WI,238.0
UT,WY,1089.0
VA,AL,2398.0
VA,AR,600.0
VA,AZ,1440.0
VA,CA,7029.0
VA,CO,5231.0
VA,CT,2996.0
VA,FL,27022.0
VA,GA,17591.0
VA,HI,97.0
VA,IA,658.0
VA,IL,13831.0
VA,IN,2570.0
VA,KY,3975.0
VA,LA,2583.0
VA,MA,14023.0
VA,MD,1362.0
VA,ME,2607.0
VA,MI,7016.0
VA,MN,3512.0
VA,MO,4441.0
VA,MS,334.0
VA,MT,15.0
VA,NC,16527.0
VA,NE,601.0
VA,NH,1047.0
VA,NJ,2922.0
VA,NV,963.0
VA,NY,29275.0
VA,OH,6100.0
VA,OK,906.0
VA,OR,566.0
VA,PA,4704.0
VA,PR,703.0
VA,RI,2303.0
VA,SC,5147.0
VA,TN,6667.0
VA,TX,14705.0
VA,UT,652.0
VA,VA,5054.0
VA,VI,276.0
VA,VT,1449.0
VA,WA,1997.0
VA,WI,814.0
VA,WV,812.0
VI,FL,2583.0
VI,GA,676.0
VI,IL,82.0
VI,MA,66.0
VI,NC,463.0
VI,NJ,296.0
VI,NY,532.0
VI,PA,147.0
VI,PR,852.0
VI,TX,275.0
VI,VA,252.0
VT,CO,137.0
VT,FL,82.0
VT,GA,334.0
VT,IL,798.0
VT,MI,365.0
VT,MN,44.0
VT,NC,658.0
VT,NJ,635.0
VT,NY,2214.0
VT,PA,540.0
VT,TX,79.0
VT,VA,1450.0
WA,AK,11294.0
WA,AZ,8144.0
WA,CA,44158.0
WA,CO,7855.0
WA,FL,3671.0
WA,GA,3154.0
WA,HI,5578.0
WA,ID,6836.0
WA,IL,5054.0
WA,IN,375.0
